movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb
the crazies,Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller,Radha Mitchell Glenn Morshower John Aylward Breck Eisner Horror Thriller
spirited away,Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,Bunta Sugawara Ryûnosuke Kamiki Miyu Irino Hayao Miyazaki Adventure Animation Family Fantasy
firestorm,Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller,Andy Lau Michael Wong Terence Yin Alan Yuen Action Crime Thriller
the bounty,Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,Liam Neeson Anthony Hopkins Laurence Olivier Roger Donaldson Action Adventure Drama History Romance
the book thief,Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,Drama War,Emily Watson Sophie Nélisse Roger Allam Brian Percival Drama War
sex drive,Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance,Katrina Bowden Michael Cudlitz Alice Greczyn Sean Anders Adventure Comedy Romance
leap year,Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy Romance,Adam Scott Kaitlin Olson Dominique McElligott Anand Tucker Comedy Romance
the fall of the roman empire,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War,James Mason Mel Ferrer Stephen Boyd Anthony Mann Drama History War
take me home tonight,Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,Comedy Drama Romance,Topher Grace Michael Biehn Dan Fogler Michael Dowse Comedy Drama Romance
won't back down,Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama,Holly Hunter Rosie Perez Dante Brown Daniel Barnz Drama
the nutcracker,Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,Family Fantasy Music,Darci Kistler Kyra Nichols Margaret Tracey Emile Ardolino Family Fantasy Music
kansas city,Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Crime Drama Music Thriller,Steve Buscemi Jennifer Jason Leigh Miranda Richardson Robert Altman Crime Drama Music Thriller
indignation,James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama,Logan Lerman Sarah Gadon Tracy Letts James Schamus Drama
the amityville horror,Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller,Jimmy Bennett Chloë Grace Moretz Ryan Reynolds Andrew Douglas Drama Horror Mystery Thriller
adaptation.,Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,Comedy Drama,Nicolas Cage Meryl Streep Roger Willie Spike Jonze Comedy Drama
land of the dead,George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,Horror,Tony Nappo Shawn Roberts Pedro Miguel Arce George A. Romero Horror
out of inferno,Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,Action,Louis Koo Angelica Lee Ching Wan Lau Danny Pang Action
fear and loathing in las vegas,Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,Adventure Comedy Drama,Johnny Depp Michael Jeter Ellen Barkin Terry Gilliam Adventure Comedy Drama
the invention of lying,Ricky Gervais,Jennifer Garner,Tina Fey,Martin Starr,Comedy Fantasy Romance,Jennifer Garner Tina Fey Martin Starr Ricky Gervais Comedy Fantasy Romance
neighbors,Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,Comedy,Craig Roberts Carla Gallo Ike Barinholtz Nicholas Stoller Comedy
the mask,Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,Action Comedy Crime Fantasy,Peter Greene Amy Yasbeck Reg E. Cathey Chuck Russell Action Comedy Crime Fantasy
big,Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,Comedy Drama Family Fantasy Romance,Tom Hanks Jon Lovitz John Heard Penny Marshall Comedy Drama Family Fantasy Romance
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Larry Charles,Luenell,Ken Davitian,Chester,Comedy,Luenell Ken Davitian Chester Larry Charles Comedy
legally blonde,Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,Comedy Romance,Linda Cardellini Raquel Welch Alanna Ubach Robert Luketic Comedy Romance
star trek iii: the search for spock,Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Action Adventure Sci-Fi
the exorcism of emily rose,Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,Drama Horror Thriller,Tom Wilkinson Colm Feore JR Bourne Scott Derrickson Drama Horror Thriller
deuce bigalow: male gigolo,Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,Comedy Romance,Amy Poehler Eddie Griffin Bree Turner Mike Mitchell Comedy Romance
the family stone,Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Comedy Drama Romance,Craig T. Nelson Paul Schneider Tyrone Giordano Thomas Bezucha Comedy Drama Romance
barbershop 2: back in business,Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Comedy Drama,Harry Lennix Sean Patrick Thomas Kenan Thompson Kevin Rodney Sullivan Comedy Drama
bad santa,Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Comedy Crime Drama,Bernie Mac Tony Cox Alex Borstein Terry Zwigoff Comedy Crime Drama
austin powers: international man of mystery,Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Comedy Crime,Will Ferrell Charles Napier Robert Wagner Jay Roach Comedy Crime
my big fat greek wedding 2,Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Comedy Family Romance,Nia Vardalos Louis Mandylor Joey Fatone Kirk Jones Comedy Family Romance
diary of a wimpy kid: rodrick rules,David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Comedy Family,Zachary Gordon Rachael Harris Fran Kranz David Bowers Comedy Family
predator,John McTiernan,Shane Black,Bill Duke,Carl Weathers,Action Horror Sci-Fi,Shane Black Bill Duke Carl Weathers John McTiernan Action Horror Sci-Fi
amadeus,Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music,Jeffrey Jones F. Murray Abraham Tom Hulce Milos Forman Biography Drama History Music
prom night,Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick Horror Mystery
mean girls,Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy,Tina Fey Amy Poehler Neil Flynn Mark Waters Comedy
under the tuscan sun,Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Comedy Drama Romance,Raoul Bova Lindsay Duncan Mario Monicelli Audrey Wells Comedy Drama Romance
gosford park,Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery,Kristin Scott Thomas Bob Balaban Tom Hollander Robert Altman Drama Mystery
the o.c.            ,unknown,Peter Gallagher,Melinda Clarke,Tate Donovan,Comedy Drama Romance,Peter Gallagher Melinda Clarke Tate Donovan unknown Comedy Drama Romance
peggy sue got married,Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Comedy Drama Fantasy Romance,Nicolas Cage Kathleen Turner Joan Allen Francis Ford Coppola Comedy Drama Fantasy Romance
birdman or (the unexpected virtue of ignorance),Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,Comedy Drama Romance,Emma Stone Naomi Watts Merritt Wever Alejandro G. Iñárritu Comedy Drama Romance
blue jasmine,Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama,Sally Hawkins Charlie Tahan Andrew Dice Clay Woody Allen Drama
united 93,Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller,Christian Clemenson David Alan Basche Susan Blommaert Paul Greengrass Drama History Thriller
honey,Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff Drama Music Romance
glory,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War,Denzel Washington Morgan Freeman Matthew Broderick Edward Zwick Drama History War
spy hard,Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Action Comedy,Hulk Hogan Barry Bostwick Nicollette Sheridan Rick Friedberg Action Comedy
soul surfer,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Biography Drama Family Sport,Dennis Quaid Chris Brochu Craig T. Nelson Sean McNamara Biography Drama Family Sport
catch-22,Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,Comedy Drama War,Bob Newhart Bob Balaban Martin Balsam Mike Nichols Comedy Drama War
observe and report,Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Comedy Crime Drama,Collette Wolfe Celia Weston Dan Bakkedahl Jody Hill Comedy Crime Drama
conan the destroyer,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy,Mako Olivia d'Abo Grace Jones Richard Fleischer Action Adventure Fantasy
raging bull,Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,Biography Drama Sport,Robert De Niro Cathy Moriarty Frank Vincent Martin Scorsese Biography Drama Sport
love happens,Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Drama Romance,Judy Greer Sasha Alexander Frances Conroy Brandon Camp Drama Romance
young sherlock holmes,Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller,Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Barry Levinson Adventure Fantasy Mystery Thriller
fame,Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance,Kelsey Grammer Kay Panabaker Megan Mullally Kevin Tancharoen Comedy Drama Musical Romance
127 hours,Danny Boyle,James Franco,Treat Williams,Kate Burton,Adventure Biography Drama Thriller,James Franco Treat Williams Kate Burton Danny Boyle Adventure Biography Drama Thriller
small time crooks,Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Comedy Crime,Woody Allen Jon Lovitz Michael Rapaport Woody Allen Comedy Crime
center stage,Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance,Amanda Schull Susan May Pratt Ethan Stiefel Nicholas Hytner Drama Music Romance
love the coopers,Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,Comedy,Olivia Wilde Alex Borstein Timothée Chalamet Jessie Nelson Comedy
catch that kid,Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Comedy Crime,Kristen Stewart Corbin Bleu Kevin G. Schmidt Bart Freundlich Comedy Crime
life as a house,Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Drama,Ian Somerhalder Hayden Christensen Kristin Scott Thomas Irwin Winkler Drama
steve jobs,Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Biography Drama,Kate Winslet Michael Fassbender Michael Stuhlbarg Danny Boyle Biography Drama
"i love you, beth cooper",Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Comedy Romance,Alan Ruck Marie Avgeropoulos Shawn Roberts Chris Columbus Comedy Romance
youth in revolt,Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,Comedy Drama Romance,Steve Buscemi Ari Graynor Fred Willard Miguel Arteta Comedy Drama Romance
the legend of the lone ranger,William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,Action Adventure Western,Jason Robards Richard Farnsworth Michael Horse William A. Fraker Action Adventure Western
the tailor of panama,John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,Drama Thriller,Daniel Radcliffe Jamie Lee Curtis Mark Margolis John Boorman Drama Thriller
blow out,Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,Mystery Thriller,Nancy Allen Dennis Franz John McMartin Brian De Palma Mystery Thriller
getaway,Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,Action Crime Thriller,Rebecca Budig Paul Freeman Bruce Payne Courtney Solomon Action Crime Thriller
the ice storm,Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Drama,Joan Allen Kate Burton Henry Czerny Ang Lee Drama
and so it goes,Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,Comedy Drama Romance,Yaya DaCosta Annie Parisse Frankie Valli Rob Reiner Comedy Drama Romance
troop beverly hills,Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,Adventure Comedy,Craig T. Nelson Shelley Long Kellie Martin Jeff Kanew Adventure Comedy
being julia,István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,Comedy Drama Romance,Miriam Margolyes Shaun Evans Juliet Stevenson István Szabó Comedy Drama Romance
9½ weeks,Adrian Lyne,David Margulies,Karen Young,Kim Chan,Drama Romance,David Margulies Karen Young Kim Chan Adrian Lyne Drama Romance
dragonslayer,Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Action Adventure Fantasy,Ian McDiarmid Ralph Richardson Albert Salmi Matthew Robbins Action Adventure Fantasy
the last station,Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,Biography Drama Romance,David Masterson Kerry Condon Anne-Marie Duff Michael Hoffman Biography Drama Romance
ed wood,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,Biography Comedy Drama,Johnny Depp Bill Murray Martin Landau Tim Burton Biography Comedy Drama
labor day,Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Drama,J.K. Simmons Kate Winslet Brooke Smith Jason Reitman Drama
mongol: the rise of genghis khan,Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Adventure Biography Drama History War,Tadanobu Asano Khulan Chuluun Honglei Sun Sergey Bodrov Adventure Biography Drama History War
rocknrolla,Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,Action Crime Thriller,Tom Hardy Gerard Butler Tom Wilkinson Guy Ritchie Action Crime Thriller
megaforce,Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,Action Sci-Fi,Barry Bostwick Michael Beck Henry Silva Hal Needham Action Sci-Fi
mao's last dancer,Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,Biography Drama Music Romance,Bruce Greenwood Suzie Steen Aden Young Bruce Beresford Biography Drama Music Romance
midnight special,Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,Adventure Drama Sci-Fi Thriller,Kirsten Dunst Sam Shepard Paul Sparks Jeff Nichols Adventure Drama Sci-Fi Thriller
anything else,Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,Comedy Romance,Woody Allen Stockard Channing Fisher Stevens Woody Allen Comedy Romance
the railway man,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,Biography Drama Romance War,Jeremy Irvine Colin Firth Sam Reid Jonathan Teplitzky Biography Drama Romance War
unforgettable            ,unknown,Poppy Montgomery,Dylan Walsh,Dallas Roberts,Drama Mystery,Poppy Montgomery Dylan Walsh Dallas Roberts unknown Drama Mystery
the white ribbon,Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Drama Mystery,Ulrich Tukur Burghart Klaußner Leonie Benesch Michael Haneke Drama Mystery
restoration,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror
the wraith,Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,Action Horror Romance Sci-Fi Thriller,Clint Howard Randy Quaid Nick Cassavetes Mike Marvin Action Horror Romance Sci-Fi Thriller
the salton sea,D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,Crime Drama Mystery Thriller,Adam Goldberg Meat Loaf Anthony LaPaglia D.J. Caruso Crime Drama Mystery Thriller
metallica through the never,Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,Music,James Hetfield Mackenzie Gray Lars Ulrich Nimród Antal Music
the informers,Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,Crime Drama Thriller,Austin Nichols Brad Renfro Lou Taylor Pucci Gregor Jordan Crime Drama Thriller
carlos            ,unknown,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,Biography Crime Drama Thriller,Edgar Ramírez Nora von Waldstätten Katharina Schüttler unknown Biography Crime Drama Thriller
i come with the rain,Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,Thriller,Takuya Kimura Simón Andreu Shawn Yue Tran Anh Hung Thriller
one man's hero,Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,Action Drama History Romance War Western,Tom Berenger Joaquim de Almeida Mark Moses Lance Hool Action Drama History Romance War Western
i am wrath,Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,Action Crime Drama Thriller,Sam Trammell Rebecca De Mornay Amanda Schull Chuck Russell Action Crime Drama Thriller
renaissance,Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,Action Animation Sci-Fi Thriller,Romola Garai Catherine McCormack Kevork Malikyan Christian Volckman Action Animation Sci-Fi Thriller
forsaken,Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western,Demi Moore Landon Liboiron Michael Wincott Jon Cassar Drama Western
red sonja,Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Action Adventure Fantasy,Ernie Reyes Jr. Brigitte Nielsen Sandahl Bergman Richard Fleischer Action Adventure Fantasy
red lights,Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,Drama Horror Mystery Thriller,Robert De Niro Toby Jones Craig Roberts Rodrigo Cortés Drama Horror Mystery Thriller
superbad,Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Comedy,Emma Stone Joe Lo Truglio Kevin Corrigan Greg Mottola Comedy
madea goes to jail,Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,Comedy Crime Drama,Vanessa Ferlito Keshia Knight Pulliam Derek Luke Tyler Perry Comedy Crime Drama
wolves,David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,Action Horror,Jason Momoa Jennifer Hale Stephen McHattie David Hayter Action Horror
step up 2: the streets,Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,Drama Music Musical Romance,Cassie Ventura Mari Koda Luis Rosado Jon M. Chu Drama Music Musical Romance
hoodwinked!,Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,Action Animation Comedy Crime Family,Anne Hathaway Chazz Palminteri Jim Belushi Cory Edwards Action Animation Comedy Crime Family
hotel rwanda,Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Drama History War,Don Cheadle Sophie Okonedo Hakeem Kae-Kazim Terry George Drama History War
hitman,Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Action Crime Drama Thriller,Henry Ian Cusick Dougray Scott Ulrich Thomsen Xavier Gens Action Crime Drama Thriller
black nativity,Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Drama Family Music Musical,Jennifer Hudson Mary J. Blige Vondie Curtis-Hall Kasi Lemmons Drama Family Music Musical
the prince,Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,Action Thriller,Bruce Willis 50 Cent Jessica Lowndes Brian A Miller Action Thriller
city of ghosts,Matt Dillon,Kirk Fox,Shawn Andrews,Rob Campbell,Crime Drama Thriller,Kirk Fox Shawn Andrews Rob Campbell Matt Dillon Crime Drama Thriller
the others,Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Fantasy Horror Thriller,Fionnula Flanagan Elaine Cassidy Eric Sykes Alejandro Amenábar Fantasy Horror Thriller
aliens,James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,Action Adventure Sci-Fi,Michael Biehn Carrie Henn Jenette Goldstein James Cameron Action Adventure Sci-Fi
my fair lady,George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,Drama Family Musical Romance,Jeremy Brett Rex Harrison Theodore Bikel George Cukor Drama Family Musical Romance
i know what you did last summer,Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,Horror Mystery Thriller,Muse Watson Sarah Michelle Gellar Anne Heche Jim Gillespie Horror Mystery Thriller
let's be cops,Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Comedy,Rob Riggle Damon Wayans Jr. James D'Arcy Luke Greenfield Comedy
sideways,Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,Adventure Comedy Drama Romance,Virginia Madsen Patrick Gallagher M.C. Gainey Alexander Payne Adventure Comedy Drama Romance
beerfest,Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,Comedy,Chris Moss Owain Yeoman Jay Chandrasekhar Jay Chandrasekhar Comedy
hero,Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Action Adventure History,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action Adventure History
good boy!,John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,Comedy Drama Family Fantasy Sci-Fi,Liam Aiken Molly Shannon Kevin Nealon John Hoffman Comedy Drama Family Fantasy Sci-Fi
the best man holiday,Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Comedy Drama,Harold Perrineau Sanaa Lathan Eddie Cibrian Malcolm D. Lee Comedy Drama
smokin' aces,Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,Action Crime Drama Thriller,Ryan Reynolds Common Alex Rocco Joe Carnahan Action Crime Drama Thriller
saw 3d: the final chapter,Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,Horror Mystery,Costas Mandylor Gina Holden Betsy Russell Kevin Greutert Horror Mystery
40 days and 40 nights,Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,Comedy Romance,Emmanuelle Vaugier Vinessa Shaw Paulo Costanzo Michael Lehmann Comedy Romance
tron: legacy,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action Adventure Sci-Fi
a night at the roxbury,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,Comedy Music Romance,Will Ferrell Chris Kattan Dan Hedaya John Fortenberry Comedy Music Romance
beastly,Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Drama Fantasy Romance,Alex Pettyfer Mary-Kate Olsen Erik Knudsen Daniel Barnz Drama Fantasy Romance
the hills have eyes,Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,Horror,Dan Byrd Greg Nicotero Vinessa Shaw Alexandre Aja Horror
dickie roberts: former child star,Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,Comedy,Kevin Grevioux Jenna Boyd Mary McCormack Sam Weisman Comedy
"mcfarland, usa",Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Biography Drama Sport,Morgan Saylor Valente Rodriguez Diana Maria Riva Niki Caro Biography Drama Sport
lottery ticket,Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,Comedy,Brandon T. Jackson Loretta Devine Shad Moss Erik White Comedy
atl,Chris Robinson,T.I.,Adam Boyer,Malika,Comedy Crime Drama Music Romance,T.I. Adam Boyer Malika Chris Robinson Comedy Crime Drama Music Romance
pitch perfect,Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,Comedy Music Romance,Anna Kendrick Hana Mae Lee Ben Platt Jason Moore Comedy Music Romance
summer catch,Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,Comedy Drama Romance Sport,Marc Blucas Brian Dennehy Bruce Davison Michael Tollin Comedy Drama Romance Sport
a simple plan,Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,Crime Drama Thriller,Gary Cole Bridget Fonda Chelcie Ross Sam Raimi Crime Drama Thriller
they,Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller,Alexander Gould Ethan Embry Marc Blucas Robert Harmon Horror Mystery Thriller
larry the cable guy: health inspector,Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Comedy Romance,Thomas F. Wilson Larry the Cable Guy Megyn Price Trent Cooper Comedy Romance
the adventures of elmo in grouchland,Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,Adventure Comedy Family Fantasy Musical,Vanessa Williams Kevin Clash Caroll Spinney Gary Halvorson Adventure Comedy Family Fantasy Musical
brooklyn's finest,Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,Crime Drama Thriller,Don Cheadle Lili Taylor Armando Riesco Antoine Fuqua Crime Drama Thriller
55 days at peking,Nicholas Ray,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War,Ava Gardner David Niven John Ireland Nicholas Ray Action Adventure Drama History War
evil dead,Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror,Lou Taylor Pucci Elizabeth Blackmore Ellen Sandweiss Fede Alvarez Horror
my life in ruins,Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,Comedy Romance,Nia Vardalos Harland Williams Rachel Dratch Donald Petrie Comedy Romance
american dreamz,Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,Comedy Music,Judy Greer Dennis Quaid Chris Klein Paul Weitz Comedy Music
superman iv: the quest for peace,Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,Action Adventure Family Sci-Fi,Jim Broadbent Margot Kidder William Hootkins Sidney J. Furie Action Adventure Family Sci-Fi
how she move,Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,Drama,DeRay Davis Clé Bennett Conrad Coates Ian Iqbal Rashid Drama
running scared,Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,Action Crime Drama Thriller,Paul Walker Chazz Palminteri Ivana Milicevic Wayne Kramer Action Crime Drama Thriller
bobby jones: stroke of genius,Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,Biography Drama Romance Sport,Aidan Quinn Jeremy Northam Paul Freeman Rowdy Herrington Biography Drama Romance Sport
shanghai surprise,Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,Adventure Crime Drama Romance,Victor Wong Paul Freeman Clyde Kusatsu Jim Goddard Adventure Crime Drama Romance
roar,Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,Adventure Horror Thriller,Tippi Hedren Melanie Griffith Zakes Mokae Noel Marshall Adventure Horror Thriller
veronica guerin,Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,Biography Crime Drama Thriller,Brenda Fricker David Murray Gerard McSorley Joel Schumacher Biography Crime Drama Thriller
escobar: paradise lost,Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,Crime Drama Romance Thriller,Josh Hutcherson Brady Corbet Carlos Bardem Andrea Di Stefano Crime Drama Romance Thriller
southland tales,Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller,Janeane Garofalo Curtis Armstrong Chris Andrew Ciulla Richard Kelly Comedy Mystery Sci-Fi Thriller
dragon hunters,Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,Adventure Animation Family Fantasy,Rob Paulsen Jess Harnell Mary Mouser Guillaume Ivernel Adventure Animation Family Fantasy
