movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
connie and carla,Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,Comedy Crime Music
sweet charity,Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,Comedy Drama Music Musical Romance
inherent vice,Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,Comedy Crime Drama Mystery Romance
doogal,Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,Adventure Animation Comedy Family Fantasy
battle of the year,Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,Drama Music
perception            ,unknown,LeVar Burton,Eric McCormack,Scott Wolf,Crime Drama Mystery Thriller
an american carol,David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,Comedy Fantasy
machete kills,Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,Action Comedy Crime Thriller
willard,Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,Drama Horror Sci-Fi Thriller
strange wilderness,Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy
topsy-turvy,Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical
little boy,Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,Drama War
a dangerous method,David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,Biography Drama Thriller
a scanner darkly,Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller
chasing mavericks,Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport
alone in the dark,Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi
bandslam,Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance
birth,Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller
a most violent year,J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller
passchendaele,Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War
flash of genius,Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama
i'm not there.,Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music
the cold light of day,Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller
the brothers bloom,Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance
"synecdoche, new york",Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance
princess mononoke,Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy
bon voyage,Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War
can't stop the music,Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical
the proposition,John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western
courage,Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport
marci x,Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music
equilibrium,Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller
the children of huang shi,Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War
the yards,James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller
the oogieloves in the big balloon adventure,Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical
by the sea,Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance
steamboy,Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller
the game of their lives,David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport
all good things,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller
rapa nui,Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance
cj7,Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi
les couloirs du temps: les visiteurs ii,Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi
dylan dog: dead of night,Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller
people i know,Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery
the doombolt chase            ,unknown,Peter Vaughan,George Coulouris,Ewen Solon,Drama Family
the tempest,Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance
regression,Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller
the touch,Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short
three kingdoms: resurrection of the dragon,Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War
shattered,Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller
zambezia,Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family
ramanujan,Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History
dwegons and leprechauns,Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation
hands of stone,Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport
survivor,James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller
the frozen ground,Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller
the painted veil,John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance
the baader meinhof complex,Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama
dances with wolves,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western
bad teacher,Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy
sea of love,Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller
a cinderella story,Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance
scream,Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery
thir13en ghosts,Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror
the shining,Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror
back to the future,Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi
house on haunted hill,William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller
i can do bad all by myself,Tyler Perry,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy Drama
fight valley,Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Action Drama
the switch,Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Comedy Drama Romance
just married,Shawn Levy,Taran Killam,David Agranov,David Moscow,Comedy Romance
the devil's double,Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Biography Drama Thriller
"gone, baby, gone            ",unknown,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance
thomas and the magic railroad,Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy
the crazies,Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller
spirited away,Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy
firestorm,Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller
the bounty,Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance
the book thief,Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,Drama War
sex drive,Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance
leap year,Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy Romance
the fall of the roman empire,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War
take me home tonight,Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,Comedy Drama Romance
won't back down,Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama
the nutcracker,Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,Family Fantasy Music
kansas city,Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Crime Drama Music Thriller
indignation,James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama
the amityville horror,Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller
adaptation.,Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,Comedy Drama
land of the dead,George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,Horror
out of inferno,Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,Action
fear and loathing in las vegas,Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,Adventure Comedy Drama
the invention of lying,Ricky Gervais,Jennifer Garner,Tina Fey,Martin Starr,Comedy Fantasy Romance
neighbors,Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,Comedy
the mask,Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,Action Comedy Crime Fantasy
big,Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,Comedy Drama Family Fantasy Romance
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Larry Charles,Luenell,Ken Davitian,Chester,Comedy
legally blonde,Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,Comedy Romance
star trek iii: the search for spock,Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi
the exorcism of emily rose,Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,Drama Horror Thriller
deuce bigalow: male gigolo,Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,Comedy Romance
left behind,Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller
the family stone,Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Comedy Drama Romance
barbershop 2: back in business,Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Comedy Drama
bad santa,Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Comedy Crime Drama
austin powers: international man of mystery,Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Comedy Crime
my big fat greek wedding 2,Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Comedy Family Romance
diary of a wimpy kid: rodrick rules,David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Comedy Family
predator,John McTiernan,Shane Black,Bill Duke,Carl Weathers,Action Horror Sci-Fi
amadeus,Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music
prom night,Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery
mean girls,Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy
under the tuscan sun,Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Comedy Drama Romance
gosford park,Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery
the o.c.            ,unknown,Peter Gallagher,Melinda Clarke,Tate Donovan,Comedy Drama Romance
peggy sue got married,Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Comedy Drama Fantasy Romance
birdman or (the unexpected virtue of ignorance),Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,Comedy Drama Romance
blue jasmine,Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama
united 93,Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller
honey,Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance
glory,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War
spy hard,Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Action Comedy
the fog,John Carpenter,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,Fantasy Horror
soul surfer,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Biography Drama Family Sport
catch-22,Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,Comedy Drama War
observe and report,Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Comedy Crime Drama
conan the destroyer,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy
raging bull,Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,Biography Drama Sport
love happens,Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Drama Romance
young sherlock holmes,Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller
fame,Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance
127 hours,Danny Boyle,James Franco,Treat Williams,Kate Burton,Adventure Biography Drama Thriller
small time crooks,Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Comedy Crime
center stage,Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance
love the coopers,Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,Comedy
catch that kid,Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Comedy Crime
life as a house,Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Drama
steve jobs,Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Biography Drama
"i love you, beth cooper",Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Comedy Romance
youth in revolt,Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,Comedy Drama Romance
the legend of the lone ranger,William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,Action Adventure Western
the tailor of panama,John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,Drama Thriller
blow out,Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,Mystery Thriller
getaway,Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,Action Crime Thriller
the ice storm,Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Drama
and so it goes,Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,Comedy Drama Romance
troop beverly hills,Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,Adventure Comedy
being julia,István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,Comedy Drama Romance
9½ weeks,Adrian Lyne,David Margulies,Karen Young,Kim Chan,Drama Romance
dragonslayer,Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Action Adventure Fantasy
the last station,Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,Biography Drama Romance
ed wood,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,Biography Comedy Drama
labor day,Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Drama
mongol: the rise of genghis khan,Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Adventure Biography Drama History War
rocknrolla,Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,Action Crime Thriller
megaforce,Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,Action Sci-Fi
hamlet,Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,Drama
mao's last dancer,Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,Biography Drama Music Romance
midnight special,Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,Adventure Drama Sci-Fi Thriller
anything else,Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,Comedy Romance
the railway man,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,Biography Drama Romance War
unforgettable            ,unknown,Poppy Montgomery,Dylan Walsh,Dallas Roberts,Drama Mystery
the white ribbon,Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Drama Mystery
restoration,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror
the wraith,Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,Action Horror Romance Sci-Fi Thriller
the salton sea,D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,Crime Drama Mystery Thriller
metallica through the never,Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,Music
the informers,Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,Crime Drama Thriller
carlos            ,unknown,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,Biography Crime Drama Thriller
i come with the rain,Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,Thriller
one man's hero,Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,Action Drama History Romance War Western
day of the dead,George A. Romero,Greg Nicotero,John Amplas,Joseph Pilato,Horror
i am wrath,Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,Action Crime Drama Thriller
renaissance,Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,Action Animation Sci-Fi Thriller
forsaken,Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western
red sonja,Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Action Adventure Fantasy
red lights,Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,Drama Horror Mystery Thriller
superbad,Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Comedy
madea goes to jail,Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,Comedy Crime Drama
wolves,David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,Action Horror
step up 2: the streets,Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,Drama Music Musical Romance
hoodwinked!,Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,Action Animation Comedy Crime Family
hotel rwanda,Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Drama History War
hitman,Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Action Crime Drama Thriller
black nativity,Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Drama Family Music Musical
the prince,Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,Action Thriller
city of ghosts,Matt Dillon,Kirk Fox,Shawn Andrews,Rob Campbell,Crime Drama Thriller
the others,Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Fantasy Horror Thriller
aliens,James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,Action Adventure Sci-Fi
my fair lady,George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,Drama Family Musical Romance
i know what you did last summer,Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,Horror Mystery Thriller
let's be cops,Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Comedy
sideways,Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,Adventure Comedy Drama Romance
beerfest,Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,Comedy
halloween,John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Horror Thriller
hero,Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Action Adventure History
good boy!,John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,Comedy Drama Family Fantasy Sci-Fi
the best man holiday,Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Comedy Drama
smokin' aces,Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,Action Crime Drama Thriller
saw 3d: the final chapter,Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,Horror Mystery
40 days and 40 nights,Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,Comedy Romance
tron: legacy,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi
a night at the roxbury,John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,Comedy Music Romance
beastly,Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Drama Fantasy Romance
the hills have eyes,Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,Horror
dickie roberts: former child star,Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,Comedy
"mcfarland, usa",Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Biography Drama Sport
lottery ticket,Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,Comedy
atl,Chris Robinson,T.I.,Adam Boyer,Malika,Comedy Crime Drama Music Romance
pitch perfect,Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,Comedy Music Romance
summer catch,Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,Comedy Drama Romance Sport
a simple plan,Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,Crime Drama Thriller
they,Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller
larry the cable guy: health inspector,Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Comedy Romance
the adventures of elmo in grouchland,Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,Adventure Comedy Family Fantasy Musical
brooklyn's finest,Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,Crime Drama Thriller
55 days at peking,Nicholas Ray,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War
evil dead,Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror
my life in ruins,Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,Comedy Romance
american dreamz,Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,Comedy Music
superman iv: the quest for peace,Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,Action Adventure Family Sci-Fi
how she move,Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,Drama
running scared,Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,Action Crime Drama Thriller
bobby jones: stroke of genius,Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,Biography Drama Romance Sport
shanghai surprise,Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,Adventure Crime Drama Romance
the illusionist,Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller
roar,Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,Adventure Horror Thriller
veronica guerin,Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,Biography Crime Drama Thriller
escobar: paradise lost,Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,Crime Drama Romance Thriller
southland tales,Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller
dragon hunters,Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,Adventure Animation Family Fantasy
damnation alley,Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi
the apparition,Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,Horror Thriller
my girl,Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,Comedy Drama Family Romance
fur: an imaginary portrait of diane arbus,Steven Shainberg,Robert Downey Jr.,Ty Burrell,Matt Servitto,Biography Drama Romance
the illusionist,Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller
wall street,Oliver Stone,Hal Holbrook,Tamara Tunie,James Karen,Crime Drama
sense and sensibility,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance
becoming jane,Julian Jarrold,Anne Hathaway,Julie Walters,Laurence Fox,Biography Drama Romance
sydney white,Joe Nussbaum,Danny Strong,Matt Long,Samm Levine,Comedy Romance
house of sand and fog,Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,Drama
dead poets society,Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,Comedy Drama
dumb & dumber,Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,Comedy
when harry met sally...,Rob Reiner,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,Comedy Drama Romance
the verdict,Sidney Lumet,Charlotte Rampling,James Mason,Jack Warden,Drama
road trip,Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,Comedy
varsity blues,Brian Robbins,Paul Walker,Ron Lester,Mark Walters,Comedy Drama Romance Sport
the artist,Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,Comedy Drama Romance
the unborn,David S. Goyer,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,Drama Fantasy Horror Mystery Thriller
moonrise kingdom,Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban,Adventure Comedy Drama Romance
the texas chainsaw massacre: the beginning,Jonathan Liebesman,Matt Bomer,Jordana Brewster,Lew Temple,Horror
the young messiah,Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland,Drama
the master of disguise,Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,Comedy Family
pan's labyrinth,Guillermo del Toro,Ivana Baquero,Maribel Verdú,Sergi López,Drama Fantasy War
the messengers            ,unknown,Joel Courtney,Jessika Van,Riley Smith,Drama Fantasy Mystery Thriller
see spot run,John Whitesell,Leslie Bibb,Angus T. Jones,Paul Sorvino,Action Comedy Crime Family
baby boy,John Singleton,Mo'Nique,Snoop Dogg,Angell Conwell,Crime Drama Romance Thriller
the roommate,Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,Drama Horror Thriller
joe dirt,Dennie Gordon,Brittany Daniel,Erik Per Sullivan,Fred Ward,Adventure Comedy Drama
double impact,Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa,Action Crime
hot fuzz,Edgar Wright,Bill Bailey,Joe Cornish,Billie Whitelaw,Action Comedy Mystery
the women,Diane English,Jada Pinkett Smith,Debi Mazar,Debra Messing,Comedy Drama
vicky cristina barcelona,Woody Allen,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,Drama Romance
arn: the knight templar,Peter Flinth,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,Action Adventure Drama Romance War
bad moms,Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy
boys and girls,Robert Iscove,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,Comedy Drama Romance
white oleander,Peter Kosminsky,Patrick Fugit,Cole Hauser,Marc Donato,Drama
jennifer's body,Karyn Kusama,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,Comedy Fantasy Horror
